,0,1,2,3,4,5,6,7,8,9,10
gamma,0.0077,0.01,0.0123,0.0146,0.0169,0.019200000000000002,0.0215,0.0238,0.026099999999999998,0.0284,0.030699999999999998
avg_dd,0.007685517611665303,0.010000000000000057,0.012300000000000146,0.014600000000000214,0.0169000000000002,0.019200000000000186,0.02150000000000019,0.023800000000000206,0.02610000000000022,0.028400000000000196,0.03070000000000019
ObjVal,0.30953554656139254,0.34865951831214637,0.3617277800578559,0.36876641710890073,0.3745921437482129,0.38010658015899745,0.3853825963286563,0.3904121334814494,0.39500153766140433,0.3995468729395041,0.40362604763598586
Reward/Risk,40.2751723698571,34.86595183121444,29.408762606329397,25.257973774581874,22.16521560640287,19.79721771661426,17.924771922262927,16.403871154682605,15.134158531088161,14.068551864066949,13.147428261758416
GOOGL,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
NWS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
META,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
CMCSA,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
LYV,0.005,0.005,0.005,0.018625005437465647,0.044906997100589485,0.08032852123537843,0.12606925199732,0.17918981614633225,0.2043568280266431,0.21431823815020298,0.29950527100962865
DIS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
TJX,0.10253556380413496,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
BKNG,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
LOW,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
CMG,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
COST,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
MNST,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
KMI,0.10911610877908719,0.22935483855530858,0.26363273254485686,0.26089993011340556,0.24438051589576704,0.23081562604788008,0.22561809520803555,0.22647002804809183,0.21612909318898074,0.20209981096642246,0.2218836237835198
JPM,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
AJG,0.09361982651254407,0.1672022136036062,0.1262168931703988,0.05393071812458587,0.05769713170924414,0.0341215059206364,0.03246378230899736,0.023292313289469437,0.008145001924824499,0.005,0.005
GS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
MS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
V,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
BSX,0.055804645142771156,0.05415728865839123,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
SYK,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
ISRG,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
TMO,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
CTAS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
TT,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
GE,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
ORCL,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
MSFT,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
AAPL,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
AVGO,0.03871258901725677,0.06491609853219922,0.12856184858391945,0.15409910325297171,0.18181602430315358,0.1984970293953904,0.2101020915362273,0.21406886955109045,0.23037009003005932,0.2562353946028331,0.23607346483312663
APH,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
ACN,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
MSI,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
CSCO,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
PANW,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
NVDA,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
INTU,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
LIN,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
