,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
gamma,0.02,0.025,0.030000000000000002,0.035,0.04000000000000001,0.045000000000000005,0.05,0.05500000000000001,0.06000000000000001,0.06500000000000002,0.07,0.07500000000000001,0.08000000000000002,0.08500000000000002,0.09000000000000001,0.09500000000000001,0.10000000000000002,0.10500000000000002,0.11000000000000003,0.11500000000000002,0.12000000000000002,0.12500000000000003,0.13,0.135,0.14,0.14500000000000002
avg_dd,0.020000000000000157,0.02500000000000025,0.030000000000000214,0.03500000000000031,0.04000000000000027,0.04500000000000068,0.05000000000000044,0.055000000000000424,0.0600000000000004,0.0650000000000005,0.06521364709353547,0.06521364709353547,0.06521364709353547,0.06521364709353547,0.06521364709353547,0.06521364709353547,0.06521364709353547,0.06521364709353547,0.06521364709353547,0.06521364709353547,0.06521364709353547,0.06521364709353547,0.06521364709353547,0.06521364709353547,0.06521364709353547,0.06521364709353547
ObjVal,0.39464494759907126,0.4073096370264179,0.4169270524549878,0.42634647973153955,0.4355755762927688,0.44403862347846473,0.4499179804609269,0.45420175970714266,0.4576234728691883,0.46088801662102924,0.46102562527004504,0.46102562527004504,0.46102562527004504,0.46102562527004504,0.46102562527004504,0.46102562527004504,0.46102562527004504,0.46102562527004504,0.46102562527004504,0.46102562527004504,0.46102562527004504,0.46102562527004504,0.46102562527004504,0.46102562527004504,0.46102562527004504,0.46102562527004504
Reward/Risk,19.73224737995341,16.292385481056552,13.89756841516616,12.181327992329594,10.889389407319145,9.867524966187956,8.99835960921846,8.258213812857075,7.627057881153088,7.090584871092703,7.069465454198555,7.069465454198555,7.069465454198555,7.069465454198555,7.069465454198555,7.069465454198555,7.069465454198555,7.069465454198555,7.069465454198555,7.069465454198555,7.069465454198555,7.069465454198555,7.069465454198555,7.069465454198555,7.069465454198555,7.069465454198555
GOOGL,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
NWS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
META,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
CMCSA,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
LYV,0.005,0.005,0.005,0.005,0.005,0.005,0.048993014639668035,0.07665760668426225,0.057355029537527594,0.007610905509470077,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
DIS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
TJX,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
BKNG,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
LOW,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
CMG,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
