,0,1,2,3,4,5,6,7,8,9,10
gamma,0.0077,0.01,0.0123,0.0146,0.0169,0.019200000000000002,0.0215,0.0238,0.026099999999999998,0.0284,0.030699999999999998
cdar,0.007699999999999997,0.009999999999999998,0.01230000000000001,0.014600000000000014,0.016900000000000012,0.019200000000000026,0.0215,0.023800000000000026,0.026099999999999995,0.028400000000000005,0.03069999999999999
avg_dd,0.0014539932785624023,0.0019683649708700335,0.0023856730921819527,0.0029302149263505848,0.0036070565656094464,0.0040874858800117285,0.004548729069330096,0.005045781192131971,0.005595365970858867,0.006104277522121708,0.006614954068514636
ObjVal,0.11451521029161973,0.13546805138838108,0.15588023469344525,0.17588989873225977,0.1954561266236825,0.21366267839397296,0.23173499689955274,0.2497644297996102,0.26765773285335537,0.28544022704259064,0.30322215585174184
Reward/Risk (CDaR),14.872105232677894,13.54680513883811,12.673189812475213,12.047253337826,11.565451279507831,11.128264499686077,10.778371948816407,10.494303773092854,10.25508554993699,10.050712219809528,9.876943187353158
Reward/Risk (AvDD),78.75910568503015,68.82262862486478,65.34014874220513,60.02627901132173,54.18715317281373,52.27239546901135,50.9449987826338,49.49965531384415,47.83560793830809,46.76068969802967,45.838890597138985
z,0.004805850152365651,0.006477250023140146,0.007791497097803669,0.009581456281658256,0.01151222209325503,0.013337146785948158,0.015219803536880742,0.017073296257392952,0.018993957320793887,0.020971922404920768,0.022878990194853448
alpha,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
max_dd,0.014788013737875388,0.019062871984381516,0.02396118290550417,0.028129047666104162,0.03170480741525017,0.0358501279669049,0.04002505812804946,0.04415004242239301,0.048137010735221586,0.052229940904593514,0.05634487449341616
GOOGL,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
NWS,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
META,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CMCSA,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
LYV,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
DIS,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
TJX,0.04470341962262053,0.05921665936771096,0.0657795540646038,0.08005883896703668,0.10281037378257185,0.10637564965955658,0.10806428020040243,0.10956160400626341,0.11737445455447451,0.12606376484256232,0.1338489623898414
BKNG,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
LOW,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CMG,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
COST,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
MNST,0.001,0.001,0.001,0.003252158019702441,0.008063076256152026,0.0028737098551454543,0.001,0.001,0.001,0.001,0.001
KMI,0.026008399431651775,0.028903260254354947,0.028838686810543208,0.0208194184570499,0.008622468242733427,0.010531290636560164,0.013130192444246711,0.014124223266892,0.013076139154171995,0.016513073659298574,0.020464746135246896
JPM,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
AJG,0.011377328719245981,0.02123142830440768,0.05130425170620131,0.07581394343447954,0.09288772333131827,0.10757006180247926,0.12018624874257172,0.1328296115699485,0.14604660855469995,0.1562516127827794,0.16621857183329547
GS,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
MS,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
V,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
BSX,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
SYK,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
ISRG,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
TMO,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CTAS,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
TT,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
GE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
ORCL,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
MSFT,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
AAPL,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
AVGO,0.012037051021147546,0.015733585532576616,0.01755328684689348,0.02012546864414821,0.02343070108999356,0.02614600273828615,0.028892732846284647,0.03164966104852043,0.03442815745315923,0.0372549357572467,0.04007835254766619
APH,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
