,0,1,2,3,4,5,6,7,8,9
gamma,0.03,0.04,0.05,0.060000000000000005,0.07,0.08000000000000002,0.09000000000000001,0.1,0.11000000000000001,0.12000000000000002
cdar,0.03000000000000002,0.04000000000000011,0.050000000000000044,0.06000000000000002,0.06999999999999992,0.07999999999999996,0.08999999999999996,0.09999999999999987,0.10146350467929752,0.10146350467929752
ObjVal,0.36776100307292525,0.3786936997957238,0.38803749152597306,0.3971495842572271,0.40436632365868264,0.40993579906550415,0.4153105230683435,0.42052406819076726,0.42062756157311887,0.42062756157311887
Reward/Risk,12.258700102430833,9.46734249489307,7.760749830519454,6.619159737620449,5.776661766552615,5.124197488318805,4.614561367426041,4.205240681907679,4.145604499890128,4.145604499890128
z,0.013769892496470093,0.017787127717642806,0.019263911931906047,0.0210122717727374,0.024480981945106117,0.027313658156526616,0.030621402868214187,0.034923173889289005,0.04685532763472222,0.04685532763472222
alpha,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
max_dd,0.11718338644157872,0.13918359340911268,0.16322860200195272,0.1888864312735865,0.21234908253494283,0.2334671205155191,0.25384671057314945,0.27361515120113844,0.2740075718547177,0.2740075718547177
GOOGL,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
NWS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
META,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
CMCSA,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
LYV,0.005,0.046744598194718295,0.1125258705735814,0.1564668499025174,0.31533671838353194,0.35431291105541185,0.39192619830258524,0.42841152669567756,0.4291357920377703,0.4291357920377703
DIS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
TJX,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
BKNG,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
LOW,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
CMG,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
COST,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
MNST,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
KMI,0.26141547169590346,0.2188912795596943,0.20526153579499892,0.1872259820271271,0.22130944433005137,0.14722344074296193,0.07572804976479766,0.006376684613194753,0.005,0.005
JPM,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
AJG,0.04248449842243034,0.03510672672892753,0.01084770475098045,0.005,0.005,0.005,0.005,0.005,0.005,0.005
GS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
MS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
V,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
BSX,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
SYK,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
ISRG,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
