,0,1,2,3,4,5,6,7,8,9,10,11,12
gamma,0.04,0.05,0.060000000000000005,0.07,0.08000000000000002,0.09000000000000001,0.1,0.11000000000000001,0.12000000000000002,0.13000000000000003,0.14,0.15000000000000002,0.16000000000000003
cdar,0.03999999999999998,0.04902148364414576,0.05967055822357023,0.05882847128660546,0.05882847128660546,0.05882847128660546,0.05882847128660546,0.05882847128660546,0.05882847128660546,0.05882847128660546,0.05882847128660546,0.05882847128660546,0.05882847128660546
ObjVal,0.4151880376181887,0.42062756157311887,0.42062756157311887,0.42062756157311887,0.42062756157311887,0.42062756157311887,0.42062756157311887,0.42062756157311887,0.42062756157311887,0.42062756157311887,0.42062756157311887,0.42062756157311887,0.42062756157311887
Reward/Risk,10.379700940454722,8.580473912754597,7.049164179043467,7.150067856155404,7.150067856155404,7.150067856155404,7.150067856155404,7.150067856155404,7.150067856155404,7.150067856155404,7.150067856155404,7.150067856155404,7.150067856155404
z,0.0,0.012332036181591621,0.03262707357994599,0.03119913435790922,0.03119913435790922,0.03119913435790922,0.03119913435790922,0.03119913435790922,0.03119913435790922,0.03119913435790922,0.03119913435790922,0.03119913435790922,0.03119913435790922
alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_dd,0.2533822768160188,0.27400757185471775,0.27400757185471775,0.2740075718547176,0.2740075718547176,0.2740075718547176,0.2740075718547176,0.2740075718547176,0.2740075718547176,0.2740075718547176,0.2740075718547176,0.2740075718547176,0.2740075718547176
GOOGL,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
NWS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
META,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
CMCSA,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
LYV,0.3910690230471047,0.4291357920377703,0.4291357920377703,0.4291357920377703,0.4291357920377703,0.4291357920377703,0.4291357920377703,0.4291357920377703,0.4291357920377703,0.4291357920377703,0.4291357920377703,0.4291357920377703,0.4291357920377703
DIS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
TJX,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
BKNG,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
LOW,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
CMG,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
COST,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
MNST,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
KMI,0.07735736973421871,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
JPM,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
AJG,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
GS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
MS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
V,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
BSX,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
SYK,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
ISRG,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
TMO,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
CTAS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
TT,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
