,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
gamma,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2
max_dd,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2
ObjVal,0.1788467,0.235764746,0.287758074,0.321413273,0.33987818,0.350864808,0.358135187,0.365296009,0.371872404,0.377835052,0.383797699,0.389760347,0.395722994,0.401685641,0.407431363,0.412896476,0.418334375
Reward/Risk,4.471167504,4.715294915,4.795967903,4.591618186,4.248477248,3.898497868,3.581351871,3.320872813,3.098936704,2.906423476,2.741412138,2.598402311,2.473268713,2.362856714,2.263507574,2.173139349,2.091671874
GOOGL,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
NWS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
META,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
CMCSA,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
LYV,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
DIS,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
TJX,0.24197573,0.345788238,0.439275021,0.13498292,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
BKNG,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
LOW,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
CMG,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
COST,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
MNST,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
KMI,0.005,0.005,0.005,0.048118747,0.154321061,0.246389961,0.264630567,0.278962224,0.285252431,0.276303155,0.267353879,0.258404602,0.249455326,0.24050605,0.226042964,0.208242718,0.190360889
JPM,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
AJG,0.005,0.005,0.005,0.005,0.005,0.045468904,0.171886193,0.283158168,0.323042814,0.282970443,0.242898071,0.2028257,0.162753329,0.122680957,0.121899324,0.098967595,0.069233209
